id,completion,channel
0TF2160B__8055,"Elevate your style and put on a pair of Tiffany & Co. TF2160B eyeglasses. The square shape, crafted from durable acetate material, is complemented by a polished black on tiffany blue color finish that adds a touch of elegance. The strass on strass metal components add a glamorous look to these eyeglasses. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|LC - Lens Crafters
0SH9901__0052,Elevate your fashion while maintaining optimal performance with Starck PL9901 eyeglasses. The rectangle shape and metal frame material offer a modern and sleek look. The silver top matte black color adds a touch of sophistication to any outfit. These glasses are not only stylish but also practical. Embrace the future with these visionary frames from Starck. These eyeglasses are available with prescription lenses.,OPSM - OPSM
0TY2117U__1150,"Elevate your fashion while optimizing functionality with Tory Burch TY2117U eyeglasses. The pillow shape, crafted from high-quality acetate, is a unique and stylish design that complements any face. The polished vintage tortoise frame color adds a touch of sophistication to your look, making these glasses a versatile choice for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|CL - Clearly
0TF2207__8055,"A harmonious blend of sophistication and elegance, Tiffany & Co. TF2207 eyeglasses showcase the brand's commitment to excellence in design and quality. The polished black on tiffany blue frame, crafted from durable acetate, features a rectangle shape that adds a touch of sophistication to any look. These shades are not just stylish but also versatile, making them an excellent choice for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM|SV - Salmoiraghi e Viganò|GL - Glasses|DC - David Clulow|OPSM - OPSM|GL - Glasses
0SV2006__1007,"Introducing Salmoiraghi & Viganò SV2006 eyeglasses, a perfect blend of style and comfort. These cat eye frames feature a polished finish in a unique havana on transparent azure color, adding a touch of elegance to your look. Crafted from durable acetate, these glasses are designed to last. Embrace the timeless appeal of this chic eyewear accessory. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0TF1072__6007,"Elevate your fashion with these Tiffany & Co. TF1072 eyeglasses. The polished black metal frame in a cat eye shape exudes a timeless elegance, making these glasses a versatile accessory for any occasion. These eyewear are not only stylish but also practical, providing you with optimal vision and comfort. Embrace the sophistication of Tiffany & Co., and experience the perfect blend of style and utility. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0SV1002__016,"Elevate your eyewear game with Salmoiraghi & Viganò SV1002 eyeglasses. Crafted from metal, these cat eye glasses feature a polished gold on top black frame that adds a touch of sophistication to any look. The unique design and color combination make these frames a stylish choice for everyday wear. Embrace the timeless appeal of these designer eyeglasses and enhance your vision in style. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SV2002__1011,"Experience the perfect blend of style and comfort with Salmoiraghi & Viganò SV2002 eyeglasses. These square-shaped frames are crafted from durable acetate, known for its lightweight and flexible properties. The polished finish in a striking top blue on ice color adds a touch of sophistication to your look. Ideal for everyday wear, these glasses are a versatile addition to your eyewear collection. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SV2001__1004,"Elevate your fashion and optical standards with Salmoiraghi & Viganò SV2001. Crafted from acetate, these eyeglasses feature a polished top black on trasparent square frame that adds a touch of sophistication to any look. These shades are not just stylish but also practical, making them an excellent choice for everyday wear. Embrace the chic and timeless appeal of Salmoiraghi & Viganò. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SH3068__0003,"Experience the perfect balance between style and functionality with Starck SH3068 eyeglasses. The phantos shape is a timeless design that suits all face shapes, while the key bridge adds a unique touch. Crafted from durable matt grey acetate, these frames are versatile and stylish. Embrace your individuality with these eyeglasses from Starck. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SH5027__000472,"Discover the meticulous craftsmanship that unites style and optical functionality in Starck SH5027 sunglasses. The phantos shape, combined with a matt finish, gives these glasses a unique look. The blue frame color is complemented by solid blue lenses, creating a striking contrast. These shades are not only stylish but also practical for everyday wear. These sunglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SH5027__000271,"Experience the perfect interplay of style and functionality with Starck SH5027 sunglasses. These shades feature a polished black phantos frame that exudes a sleek and modern look. The solid dark green lenses provide excellent sun protection while adding a touch of color to your ensemble. Embrace the effortless chic appeal of these glasses, making them an ideal accessory for any fashion-forward individual. These sunglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SH3063__0002,"Discover the meticulous craftsmanship that unites style and optical functionality in Starck SH3063 eyeglasses. The matte petroleum color adds a touch of sophistication to these frames, while the phantos shape ensures a timeless look. These glasses are not only stylish but also versatile, making them an excellent choice for those seeking both fashion and functionality. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|DC - David Clulow
0SF5506S__102313,"Experience the interplay of style and optical functionality in Sferoflex SF5506S sunglasses. These butterfly-shaped glasses feature a polished bordeaux frame that adds a touch of elegance to any outfit. The gradient brown lenses add a stylish flair to your look while providing excellent vision. With their unique design and high-quality materials, these frames are a versatile choice for everyday wear. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0SH3063__0001,"Experience the perfect balance of style and performance with Starck SH3063 eyeglasses. The phantos shape, combined with a matte black frame color, creates a sleek and contemporary look. These glasses are not only stylish but also practical, making them ideal for everyday wear. With their versatile design and high-quality lenses, these frames offer both fashion and functionality. Embrace your unique style while enhancing your vision with Starck SH3063 eyeglasses. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|LC - Lens Crafters|GL - Glasses|DC - David Clulow
0SF5503S__C21313,"Elevate your fashion while optimizing utility with Sferoflex SF5503S sunglasses. The square shape and polished havana frame, crafted from acetate, offer a timeless appeal. The gradient brown lenses provide a smooth transition of color, adding a touch of sophistication to the overall design. These shades are not only stylish but also versatile. Embrace the effortless elegance that these glasses radiate. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0SF4033T__4055,"Elevate your fashion while maintaining a high level of functionality with Sferoflex SF4033T eyeglasses. Crafted from titanium, these glasses are both lightweight and durable, making them ideal for everyday wear. The rectangle shape adds a touch of sophistication, while the polished black finish ensures a sleek look. These frames are versatile and can be adapted to suit any style or preference. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SF2570__491,"Elevate your style and enhance your vision with Sferoflex SF2570 eyeglasses. The polished, shiny silver finish of the steel frame adds a touch of sophistication to any look. The rectangle shape offers a modern twist on a timeless design, while the durable material ensures longevity. These glasses are not only stylish but also practical. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0SF2292__268,"Introducing Sferoflex SF2292, a perfect blend of style and performance. Crafted from metal, these eyeglasses feature a square shape that adds a touch of sophistication to your look. The polished finish in gunmetal color gives these frames a sleek and modern appeal. Available in other color options, these glasses are suitable for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0SF2276__230,"Experience the perfect balance of style and performance with Sferoflex SF2276 eyeglasses. Crafted from durable metal, these glasses feature a polished finish in a sleek rectangle shape, offering a modern and sophisticated look. The brushed gunmetal color adds an edgy touch to the overall design. These shades will not only elevate your fashion but also provide superior visual clarity. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0RX8064V__1223,"Experience the ideal blend of style and performance with Ray-Ban RB8064 Titanium Optics. These irregular-shaped glasses feature a matte grey titanium frame that is lightweight and durable, offering superior comfort throughout the day. The unique design adds a touch of sophistication to your look, making these eyeglasses a versatile choice for any occasion. These eyeglasses are available with prescription lenses.",GL - Glasses
0RX7186__8087,"Experience the perfect union of style and comfort with Ray-Ban RB7186 Optics. The square shape and matte finish give these eyeglasses a modern, yet timeless appeal. Crafted from peek material, these frames are lightweight and durable. The sand dark blue color adds a touch of sophistication to any look. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0RL6209Q__5921,"Elevate your fashion while maintaining a sophisticated look with Ralph Lauren RL6209Q eyeglasses. The butterfly shape, crafted from durable acetate, is a timeless design that adds a touch of elegance to any outfit. The polished finish and shiny transparent burgundy color give these glasses a unique and stylish look. These frames are designed for those seeking both style and functionality. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0RX6589__2501,"Upgrade your look while maximizing usefulness with Ray-Ban Aviator Gaze eyeglasses. The polished silver metal frame, paired with a pilot shape, adds a hint of elegance to any outfit. These shades are constructed for lasting durability and offer superior clarity for everyday wear. Opt for these fashionable eyeglasses and view the world through a fresh perspective. These eyeglasses are available with prescription lenses.",GL - Glasses|SV - Salmoiraghi e Viganò|TO - Target Optical|OPSM - OPSM|DC - David Clulow|LC - Lens Crafters
0RX7047__5573,"Experience the perfect synergy of style and optical performance with Ray-Ban RB7047 Optics. The square shape and matte havana frame color offer a timeless appeal, while the black accents provide a modern edge. These eyeglasses are designed to complement any look, making them an ideal choice for everyday wear. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|LC - Lens Crafters|GL - Glasses|TO - Target Optical|OPSM - OPSM|CL - Clearly|GL - Glasses|CL - Clearly
0RX5154__5909,"Elevate your eyewear game with Ray-Ban Clubmaster Optics. The square shape and polished finish give these glasses a timeless appeal. Crafted from durable acetate, the frame is available in grey on havana, adding a touch of sophistication to any look. These eyeglasses are not only stylish but also practical. These eyeglasses are available with prescription lenses.",GL - Glasses|TO - Target Optical|LC - Lens Crafters|TO - Target Optical|LC - Lens Crafters|GL - Glasses
0RX6331__2503,"Elevate your eyewear game with Ray-Ban RB6331 Optics. The rectangle shape and metal frame material offer a sleek and modern look. The matte black finish adds a touch of sophistication, making these glasses a versatile choice for everyday wear. These eyeglasses are designed to provide you with optimal vision while enhancing your style at the same time. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM
0RX6335__2855,"Elevate your look while elevating your vision with Ray-Ban RB6335 Optics. The rectangle shape and metal frame material ensure durability and a timeless style. The matte gunmetal finish adds a touch of sophistication, making these eyeglasses a versatile choice for everyday wear. Embrace the interplay between fashion and functionality with these stylish shades. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|GL - Glasses|SV - Salmoiraghi e Viganò|GL - Glasses|TO - Target Optical|LC - Lens Crafters|OPSM - OPSM|CL - Clearly
0RX5390__8055,"Elevate your fashion and optical standards with Ray-Ban RB5390 Optics. The square shape and polished striped grey acetate frame offer a modern and sophisticated look. These eyeglasses feature a unique design, making them a stylish accessory as well as a practical vision solution. The black color of the frame adds contrast, while the grey stripes provide a touch of elegance. With these shades, you can seamlessly transition from the office to an evening out on the town. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|TO - Target Optical|CL - Clearly|OPSM - OPSM|SV - Salmoiraghi e Viganò
0TF2206__8134,"Elevate your style quotient with Tiffany & Co. TF2206 eyeglasses. Crafted from durable acetate, these cat eye glasses feature a polished havana on tiffany blue frame color that adds a touch of sophistication to any look. The unique shape and design make these frames a versatile choice for everyday wear. These eyeglasses are not only stylish but also practical. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0TY7136__181213,"Elevate your style with these Tory Burch TY7136 sunglasses. These cat eye frames are crafted from durable acetate and feature a polished dark tortoise finish that adds a touch of sophistication to any look. The gradient lenses transition from a dark brown to black, providing optimal sun protection while enhancing your vision. With their timeless design and contemporary appeal, these glasses offer the perfect balance of style and function. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0TR001050__1220B1,"Elevate your style quotient with Tom Ford FT0698 sunglasses. The rectangle shape and black matte frame, crafted from durable acetate, exude a timeless appeal. These shades feature solid color lenses that are polarized for optimal clarity and protection against glare. The blue lens color adds a touch of sophistication to the overall design. Embrace the epitome of luxury with these exquisite glasses. These sunglasses are available with prescription lenses.",DC - David Clulow|LC - Lens Crafters
0TR001069__4402,"Experience the epitome of luxury and sophistication with Tom Ford FT5599-B eyeglasses. The square shape and polished tortoise frame color add a touch of elegance to your look. Crafted from durable acetate, these glasses are designed for longevity as well as style. Embrace the impeccable craftsmanship and timeless design of Tom Ford eyewear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|DC - David Clulow
0TF1140B__6162,"Elevate your style quotient with these Tiffany & Co. TF1140B eyeglasses. The rectangle shape and polished silver metal frame, adorned with strass, exude a sense of elegance and sophistication. These glasses are not only a fashion statement but also provide optimal clarity. Embrace the timeless beauty of Tiffany & Co., while staying trendy at all times. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0TR000977__1800,"Experience the epitome of luxury and sophistication with Tom Ford TR000977 eyeglasses. The round shape and brown color palette exude a timeless appeal, while the black acetate material adds a modern twist. These glasses are not only stylish but also versatile, making them a perfect choice for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0TF4170__80019S,"Experience the ideal balance of sophistication and elegance with Tiffany & Co. TF4170 sunglasses. These cat eye-shaped glasses feature a polished black acetate frame that exudes timeless appeal, while the tiffany blue gradient lenses add a touch of modern flair. The unique color scheme and design make these shades a must-have accessory for any fashion-forward individual. These sunglasses are available with prescription lenses.",LC - Lens Crafters|SV - Salmoiraghi e Viganò|OPSM - OPSM|DC - David Clulow
0TF4146__80553C,"Embrace the essence of luxury and sophistication with Tiffany & Co. TF4146 sunglasses. These glasses feature a polished black on tiffany blue acetate frame, complemented by grey gradient lenses that provide excellent clarity and protection. The unique phantos shape adds a touch of elegance to your look, making these shades an ideal choice for everyday wear. These sunglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
